query_id,question,correct_document_id,rank
0,대통령을 포함한 미국의 행정부 견제권을 갖는 국가 기관은?,18293,1
1,현대적 인사조직관리의 시발점이 된 책은?,51638,1
2,강희제가 1717년에 쓴 글은 누구를 위해 쓰여졌는가?,5028,2
3,11~12세기에 제작된 본존불은 보통 어떤 나라의 특징이 전파되었나요?,34146,7
4,명문이 적힌 유물을 구성하는 그릇의 총 개수는?,47334,1
5,카드모스의 부하들이 간 곳에는 무엇이 있었는가?,37482,1
6,관우를 불태워 죽이려한 사람 누구인가?,24395,1
7,참호 속에 무기와 장비를 버리고 도주한 집단은?,43399,1
8,제2차 세계 대전에 참전하여 사망한 자식은?,10426,21
9,고려 공민왕이 처가 식구들과 아내와 함께 피신처로 삼은 마을은?,15766,1
10,정여창은 어떻게 죽었나?,26376,21
11,아멜리아는 빅토르의 직업을 무엇으로 착각하나요?,12023,1
12,우핑가스 왕조의 이름은 어디서 유래하였나?,19308,3
13,장면이 한국으로 돌아온 년도는?,6930,21
14,유대교의 지나친 차별을 타파하려한 사람은?,5251,2
15,권번에서 요릿집에 제공한 기생 명부의 이름은?,47810,1
16,영국군 약 42만명의 사상자가 발생한 전투가 시작된 연도는?,5510,2
17,웨이크필드가 15번째 시즌에 활약한 팀의 이름은?,52733,1
18,김상옥이 종로경찰서에 폭탄을 던진 직후 피신한 곳은?,48931,1
19,윤치호가 극찬했던 조선시대의 인물은 누구인가요?,5322,21
20,항우가 진나라를 멸하면서 조왕 헐은 어디로 이동했는가?,35905,1
21,30일에 한달 연장 근무를 신청하는 병사가 상금으로 받게 되는 금액은?,34784,1
22,슈만이 미군에게 포로로 잡혔던 년도는?,51125,1
23,김건의 할아버지가 세운 학교는?,42889,1
24,뇌에 탈피 신호를 보내는 부위는?,5382,2
25,툴민은 ≪코스모폴리스≫에서 근대과학과 무엇에 대해 비평하나요?,23218,1
26,아테네와 파트라간의 거리는?,21016,1
27,페리데코가 궁전으로 주문한 서재는 무엇으로 널리 알려져 있었나요?,41737,7
28,카르텔 내부의 세력 다툼이 일어나기 전 카르텔의 리더는 누구였나?,32393,1
29,개건 현대화의 계기가 된 승리자동차련합기업소의 생산 설비는?,8208,2
30,잘록한 허리가 두드러지게 옷을 입는 방법은?,33495,2
31,도연주와 백승희는 무슨 사이로 알려졌나?,9945,21
32,러시아가 ISIL과 타 반정부 단체와 전투를 벌인 년도는?,35553,1
33,비트겐슈타인은 누구와 친구가 되었는가?,4936,6
34,뷰포트는 대개 무슨 모양인가?,51376,1
35,브루노 라이헨바흐의 직업은?,23245,1
36,차바하르항은 어떤 나라 덕분에 미국의 제재를 받지 않게 되었나?,54152,1
37,항공기에 기름을 바르는 것은 누구의 일인가?,50363,21
38,완장에 있는 별모양과 비슷한 모양의 빛을 뿜는 것은 누구의 손인가?,56863,1
39,어린아이임에도 불구하고 도스필라스의 왕이 된 사람은?,12186,1
40,KANU의 의장이었던 사람이 케냐 대통령이 된 날짜는?,6204,2
41,전기화학적 기울기가 ATP와 무엇을 만들어낼 수 있는가?,53527,1
42,고든 프리맨이 레이븐홈을 떠날 수 있도록 도와준 사람은?,24723,1
43,사후에 영장을 청구할 수 있는 예외조항이 존재하는 법 조항은?,15165,7
44,이범래는 일본에서 언제까지 도피 생활을 했나요?,14083,1
45,매사추세츠는 어느 지역의 사람들에게 공격을 받아 수많은 사람들이 죽었나?,34757,2
46,초고층 주거에서 차량과 사람의 활동 범위 중복을 최소화하는 장치는?,44302,1
47,풍수지리사상의 관점에서 보면 선몽대는 어떤 유형에 속하나요?,51406,1
48,농지법을 개혁할 당시 카이사르의 직위는?,10999,1
49,조에나 머레이 스미스가 여성주의를 비판한 것은 언제인가?,59908,1
50,BBC의 파란 경찰 박스 디자인 상표권에 대한 법적 논란이 종료된 해는?,39517,1
51,도비가 아메리칸 리그에 데뷔할 수 있게 그를 발탁한 인물은?,23474,2
52,이명한의 부탁을 외면한 인물의 지위는?,19012,1
